image_id,text,label,image_description,image_location,combined_text
840006160660983809.jpg,<user> thanks for showing up for our appointment today .,1,"The image appears to be a low-resolution, pixelated shot of a television screen displaying a sports event, likely a soccer match. The screen shows a stadium filled with spectators, illuminated by bright lights, creating a vibrant purple and white atmosphere. The lower part of the screen displays a scoreboard overlay, indicating the 59th minute of the game with 8:40 remaining in the period. The score is tied at 10-10, and there are 30 fouls committed. The image is heavily pixelated, making specific details hard to discern, but the general layout and elements of a live sports broadcast are clear. The top of the screen is dark, suggesting it's nighttime.",mmsd_dataset/extracted_part_4/840006160660983809.jpg,"<user> thanks for showing up for our appointment today . The image appears to be a low-resolution, pixelated shot of a television screen displaying a sports event, likely a soccer match. The screen shows a stadium filled with spectators, illuminated by bright lights, creating a vibrant purple and white atmosphere. The lower part of the screen displays a scoreboard overlay, indicating the 59th minute of the game with 8:40 remaining in the period. The score is tied at 10-10, and there are 30 fouls committed. The image is heavily pixelated, making specific details hard to discern, but the general layout and elements of a live sports broadcast are clear. The top of the screen is dark, suggesting it's nighttime."
908913372199915520.jpg,haha .,1,"The image features a zebra standing in the foreground, facing away from the viewer, looking towards a lion lying on the ground in the middle distance. The scene is set in a dry, open savanna with a few distant animals visible in the background. The composition creates a sense of tension, highlighting the predator-prey dynamic. Above the image, text reads, ""Sometimes, there are more imp things in life.. than food.."" Below, it continues with, ""And sometimes... watching porn.. is more imp than saving your life.."" The text uses humor to juxtapose the seriousness of the scene with a light-hearted message. The overall tone is ironic, contrasting the natural drama with a comedic twist.",mmsd_dataset/extracted_part_6/908913372199915520.jpg,"haha . The image features a zebra standing in the foreground, facing away from the viewer, looking towards a lion lying on the ground in the middle distance. The scene is set in a dry, open savanna with a few distant animals visible in the background. The composition creates a sense of tension, highlighting the predator-prey dynamic. Above the image, text reads, ""Sometimes, there are more imp things in life.. than food.."" Below, it continues with, ""And sometimes... watching porn.. is more imp than saving your life.."" The text uses humor to juxtapose the seriousness of the scene with a light-hearted message. The overall tone is ironic, contrasting the natural drama with a comedic twist."
916496521406726145.jpg,i love waiting <num> min for a cab - such shortage ....... <user> please allow uber . this is insane .,1,"The image is a map view showing a cluster of taxi icons, represented by yellow cars with black outlines, indicating a high concentration of taxis in a specific area. The map background features a grid layout with streets labeled, such as ""E 1st Ave"" and ""E 12th Ave."" A blue icon resembling a person with an umbrella is also visible, likely representing a user's current location. The map includes a body of water to the north and some green areas, possibly parks or undeveloped land. The taxis are densely packed, suggesting a busy or popular taxi hub, possibly near a downtown or central location. The visual composition emphasizes the clustering of taxis, making it easy to identify the area of high taxi availability.",mmsd_dataset/extracted_part_4/916496521406726145.jpg,"i love waiting <num> min for a cab - such shortage ....... <user> please allow uber . this is insane . The image is a map view showing a cluster of taxi icons, represented by yellow cars with black outlines, indicating a high concentration of taxis in a specific area. The map background features a grid layout with streets labeled, such as ""E 1st Ave"" and ""E 12th Ave."" A blue icon resembling a person with an umbrella is also visible, likely representing a user's current location. The map includes a body of water to the north and some green areas, possibly parks or undeveloped land. The taxis are densely packed, suggesting a busy or popular taxi hub, possibly near a downtown or central location. The visual composition emphasizes the clustering of taxis, making it easy to identify the area of high taxi availability."
916364004129304576.jpg,22 super funny quotes <user>,1,"The image features a black background with white text in a simple, sans-serif font. The main quote at the top reads, “I just need to get my shit together.” Below it, there's a smaller text that says, “- me in 2009 / 2012 / this time last year / a minute ago / next year probably.” The text is centered, creating a balanced composition. The use of slashes separates different time references, emphasizing the recurring nature of the sentiment expressed. The overall tone is humorous and relatable, highlighting the common experience of procrastination or self-reflection.",mmsd_dataset/extracted_part_5/916364004129304576.jpg,"22 super funny quotes <user> The image features a black background with white text in a simple, sans-serif font. The main quote at the top reads, “I just need to get my shit together.” Below it, there's a smaller text that says, “- me in 2009 / 2012 / this time last year / a minute ago / next year probably.” The text is centered, creating a balanced composition. The use of slashes separates different time references, emphasizing the recurring nature of the sentiment expressed. The overall tone is humorous and relatable, highlighting the common experience of procrastination or self-reflection."
853866052589154304.jpg,goog morning,1,"The image features a minimalist design with a soft pink background. At the center, the word ""tired"" is written in lowercase white letters, with a superscript ""TM"" indicating a trademark. The font is modern and sans-serif, giving the image a clean and simple appearance. The overall composition is balanced, with plenty of negative space around the text, emphasizing its simplicity and focus. The color choice and layout convey a sense of calmness and understated elegance.",mmsd_dataset/extracted_part_2/853866052589154304.jpg,"goog morning The image features a minimalist design with a soft pink background. At the center, the word ""tired"" is written in lowercase white letters, with a superscript ""TM"" indicating a trademark. The font is modern and sans-serif, giving the image a clean and simple appearance. The overall composition is balanced, with plenty of negative space around the text, emphasizing its simplicity and focus. The color choice and layout convey a sense of calmness and understated elegance."
731849669324705792.jpg,hilarious . tag your friends who 'd photoshop like dis textpost lol scene …,1,"The image is a humorous meme featuring a suburban neighborhood scene. Several men, dressed in plaid shirts and shorts, are running frantically across a lawn. One man is leaping into the air, while another is seen near an open car trunk. Notably, a giant inflatable figure, resembling a man in a plaid shirt and shorts, hovers above the scene, adding to the chaos. The sky is clear and blue, and houses line the background. The text at the bottom reads, ""just told my uncle about photoshop he sent me this a week later..."" The composition emphasizes the absurdity of the situation, creating a comedic effect.",mmsd_dataset/extracted_part_6/731849669324705792.jpg,"hilarious . tag your friends who 'd photoshop like dis textpost lol scene … The image is a humorous meme featuring a suburban neighborhood scene. Several men, dressed in plaid shirts and shorts, are running frantically across a lawn. One man is leaping into the air, while another is seen near an open car trunk. Notably, a giant inflatable figure, resembling a man in a plaid shirt and shorts, hovers above the scene, adding to the chaos. The sky is clear and blue, and houses line the background. The text at the bottom reads, ""just told my uncle about photoshop he sent me this a week later..."" The composition emphasizes the absurdity of the situation, creating a comedic effect."
937943250777673728.jpg,& deanwinchester mix so well together ! ! <user> <user>,1,"The image is a four-panel comic featuring two characters in a professional setting. The first character, with short hair and a beard, is wearing a suit and red sweater. He is introduced as ""Donatello,"" named after the Teenage Mutant Ninja Turtle. The second character, with shoulder-length hair, is also in a suit and tie, and appears confused by the first character's name.

In the second panel, the second character questions, ""The Mutant Ninja Turtle?"" The first character clarifies, ""The, uh, Renaissance sculptor."" In the third panel, the second character looks puzzled. The final panel shows the first character smiling and saying, ""Right, of course."" The background includes a bulletin board with various papers and images, suggesting an office environment. The dialogue is presented in speech bubbles, adding a humorous twist to the misunderstanding.",mmsd_dataset/extracted_part_5/937943250777673728.jpg,"& deanwinchester mix so well together ! ! <user> <user> The image is a four-panel comic featuring two characters in a professional setting. The first character, with short hair and a beard, is wearing a suit and red sweater. He is introduced as ""Donatello,"" named after the Teenage Mutant Ninja Turtle. The second character, with shoulder-length hair, is also in a suit and tie, and appears confused by the first character's name.

In the second panel, the second character questions, ""The Mutant Ninja Turtle?"" The first character clarifies, ""The, uh, Renaissance sculptor."" In the third panel, the second character looks puzzled. The final panel shows the first character smiling and saying, ""Right, of course."" The background includes a bulletin board with various papers and images, suggesting an office environment. The dialogue is presented in speech bubbles, adding a humorous twist to the misunderstanding."
722824700338900992.jpg,"super excited , moments after <user> created his fb page he chose me to be his one and only friend !",1,"The image is a screenshot of a social media profile for ""Wayne Brady."" At the top, there's a search bar with ""Wayne Brady"" typed in. Below it, there's a large profile picture of a smiling man with a bald head, wearing a light gray suit and a blue shirt. The background of the profile picture shows a person in a white suit with a purple pocket square and a red scribble, possibly a signature.

Below the profile picture, the name ""Wayne Brady"" is prominently displayed. There are two options: ""Respond"" and ""Message,"" with a friend request confirmation prompt. Two buttons are visible: ""CONFIRM"" in blue and ""DELETE"" in gray. The tabs at the bottom include ""ABOUT,"" ""PHOTOS,"" and ""FRIENDS,"" with ""PHOTOS"" currently selected, showing ""Nothing to show."" The interface suggests a mobile app with a typical layout for managing friend requests. The time on the device is 11:22 AM, and the battery is at 51%.",mmsd_dataset/extracted_part_6/722824700338900992.jpg,"super excited , moments after <user> created his fb page he chose me to be his one and only friend ! The image is a screenshot of a social media profile for ""Wayne Brady."" At the top, there's a search bar with ""Wayne Brady"" typed in. Below it, there's a large profile picture of a smiling man with a bald head, wearing a light gray suit and a blue shirt. The background of the profile picture shows a person in a white suit with a purple pocket square and a red scribble, possibly a signature.

Below the profile picture, the name ""Wayne Brady"" is prominently displayed. There are two options: ""Respond"" and ""Message,"" with a friend request confirmation prompt. Two buttons are visible: ""CONFIRM"" in blue and ""DELETE"" in gray. The tabs at the bottom include ""ABOUT,"" ""PHOTOS,"" and ""FRIENDS,"" with ""PHOTOS"" currently selected, showing ""Nothing to show."" The interface suggests a mobile app with a typical layout for managing friend requests. The time on the device is 11:22 AM, and the battery is at 51%."
921787893160349696.jpg,but its like a real dude ! feel it,1,"The image depicts a simplified diagram illustrating the position of the Earth, the Sun, and a specific location on Earth, Shah Alam. On the left, there is a representation of the Earth, shown in blue and green to indicate oceans and continents. To the right, the Sun is depicted as a large yellow circle with rays extending outward, labeled ""SUN.""

A dotted line connects the Earth and the Sun, with an arrow pointing downward to the label ""Shah Alam,"" indicating the location on Earth. The background is dark, emphasizing the contrast between the Earth, Sun, and the labeled location. The composition is straightforward, focusing on the alignment of the Earth, Sun, and Shah Alam to highlight their relative positions. The visual elements are simple and clear, designed to convey the concept of geographical positioning in relation to the Sun.",mmsd_dataset/extracted_part_5/921787893160349696.jpg,"but its like a real dude ! feel it The image depicts a simplified diagram illustrating the position of the Earth, the Sun, and a specific location on Earth, Shah Alam. On the left, there is a representation of the Earth, shown in blue and green to indicate oceans and continents. To the right, the Sun is depicted as a large yellow circle with rays extending outward, labeled ""SUN.""

A dotted line connects the Earth and the Sun, with an arrow pointing downward to the label ""Shah Alam,"" indicating the location on Earth. The background is dark, emphasizing the contrast between the Earth, Sun, and the labeled location. The composition is straightforward, focusing on the alignment of the Earth, Sun, and Shah Alam to highlight their relative positions. The visual elements are simple and clear, designed to convey the concept of geographical positioning in relation to the Sun."
875711381030547456.jpg,background,1,"The image shows a man sitting on the floor amidst a large pile of black electronic devices, possibly chargers or adapters. He is wearing a light green shirt and blue jeans, with a watch on his left wrist. The man has short, dark hair and a beard, and he is looking directly at the camera with a neutral expression. The background is a plain, light-colored floor, and there is a blue object, possibly a tube, in the upper right corner. The composition centers the man and the pile of devices, creating a striking contrast between the person and the surrounding items. The image appears to be taken indoors, and the lighting is bright, illuminating the scene clearly. The interface elements at the bottom suggest it is a screenshot from a social media platform, with options to like, comment, and share.",mmsd_dataset/extracted_part_4/875711381030547456.jpg,"background The image shows a man sitting on the floor amidst a large pile of black electronic devices, possibly chargers or adapters. He is wearing a light green shirt and blue jeans, with a watch on his left wrist. The man has short, dark hair and a beard, and he is looking directly at the camera with a neutral expression. The background is a plain, light-colored floor, and there is a blue object, possibly a tube, in the upper right corner. The composition centers the man and the pile of devices, creating a striking contrast between the person and the surrounding items. The image appears to be taken indoors, and the lighting is bright, illuminating the scene clearly. The interface elements at the bottom suggest it is a screenshot from a social media platform, with options to like, comment, and share."
