image_id,text,label,image_description,image_location
931874353976938497.jpg,"'check out the pulse pounding excitement of of waiting in line <num> hours before game sign up begins . waiting in line , what a gaming convention is all about .'",1,"The image depicts a group of people gathered indoors, likely in a conference or convention setting. The room has beige walls with vertical paneling and a patterned carpet with geometric designs. The floor is carpeted, and there are individuals seated on the ground and others standing. Some participants are engaged in conversations, while others appear to be observing or waiting. A few individuals are holding devices, possibly for taking notes or participating in an activity. The atmosphere suggests a casual yet organized event, possibly a workshop or seminar. There are bags placed around the seating area, indicating that attendees have brought personal belongings. The lighting is bright, typical of indoor venues.",/mnt/scratch1/beyza/muse_dataset/images/931874353976938497.jpg
880425829246922752.jpg,"'proud to have a <user> who attacks private citizens via twitter instead of doing hard work on health care , nat sec the job requires'",1,"name ""@realDonaldTrump"".",/mnt/scratch1/beyza/muse_dataset/images/880425829246922752.jpg
690915881082343424.jpg,'the view from my house ........ yay',1,"The image shows a snowy scene viewed from inside a covered porch or deck. In the foreground, three snow removal tools—a shovel, a push broom, and a snow rake—are propped against the railing. The porch roof is partially visible at the top of the frame, with its white panels extending across. Outside, a yellow house with a gabled roof is covered in snow, along with bare trees and a snow-covered yard. The sky appears overcast, contributing to the wintry atmosphere. The overall color palette is muted, dominated by whites and grays, reflecting the snowfall.",/mnt/scratch1/beyza/muse_dataset/images/690915881082343424.jpg
915228456757059585.jpg,'these luxury busses are very high tech',1,"The image depicts the interior of an airplane cabin during a flight. The foreground shows the back of a seat with a screen displaying a welcome message for Turkish Airlines passengers, featuring a scenic blue sky and mountains. Above the seats, there are two small screens showing flight information, including local time at Columbus and outside air temperature. The cabin has a modern design with overhead compartments and seating arranged in rows. The lighting is bright, typical of an airplane cabin, and the seats have a light beige color. The overall atmosphere suggests a calm and comfortable environment during the flight.",/mnt/scratch1/beyza/muse_dataset/images/915228456757059585.jpg
494194068998468686_25639236.jpg,"""Thanks North Carolina, I was worried we weren't gonna hit traffic""",1,"The image depicts a multi-lane highway with vehicles traveling in both directions. The road is flanked by trees on either side, suggesting a rural or semi-rural setting. The sky above is partly cloudy, allowing patches of sunlight to filter through, creating a bright yet diffused light effect over the scene. In the distance, mountains are visible, adding depth to the landscape. The vehicles vary in type, including cars, trucks, and a large white semi-truck, indicating typical traffic flow on a highway. The overall color palette includes greens from the trees, grays and blacks from the vehicles, and the blue and white hues of the sky.",/mnt/scratch1/beyza/muse_dataset/images/494194068998468686_25639236.jpg
847004394612776965.jpg,"'junk mail : free viagra . stripper wants to meet me . and , someone will send me 100k if i give them my account number . score ! # japan'",1,"The image features a minimalist design with text and a simple graphic. The text reads ""Grey, Grizzled, And Gaijin"" in a clean, sans-serif font. The words are arranged horizontally, with ""Grey,"" ""Grizzled,"" and ""And"" in a lighter gray color, while ""Gaijin"" is in black, standing out as the focal point. To the right of the text, there's a small, stylized graphic resembling a pair of eyes with a simple, geometric design. The overall aesthetic is modern and uncluttered, using only black and gray tones against a white background.",/mnt/scratch1/beyza/muse_dataset/images/847004394612776965.jpg
886345583052681217.jpg,'god awful venue . terrible view .',1,"The image depicts a serene beach scene with a clear view of the ocean extending towards the horizon. The sky is partly cloudy, allowing patches of sunlight to filter through, creating a bright yet soft light over the landscape. Several sailboats are anchored in the calm waters, adding a tranquil maritime element to the scene.

In the foreground, there's a sandy area leading up to the water. A yellow Adirondack chair sits on the left side, suggesting a spot for relaxation. To the right, part of a turquoise wooden structure is visible, possibly a table or bench, with some items placed on it, including what appears to be a red bottle and a white object that could be a container or a small box.

The overall composition emphasizes tranquility and leisure, inviting viewers to imagine themselves sitting in the chair, enjoying the peaceful seaside atmosphere.",/mnt/scratch1/beyza/muse_dataset/images/886345583052681217.jpg
852753018558623745.jpg,'kids : - take selfie from mobiles adults : - take selfie from dslr legends : - take selfie from landline',1,"This image is a collage of three distinct photos arranged side-by-side. The top left photo shows two children taking a selfie outdoors with a selfie stick, set against a backdrop of autumn foliage. The middle-left photo depicts a couple taking a selfie together, with one person holding a camera and the other making a peace sign. Both are dressed casually, with the woman wearing a knit hat and the man sporting a plaid shirt. The top-right photo features a person holding an old-fashioned telephone receiver, with the text ""First Selfie Ever?"" prominently displayed above it in bold yellow letters on a pink background. The overall theme humorously contrasts modern selfie culture with a nostalgic reference to early communication methods.",/mnt/scratch1/beyza/muse_dataset/images/852753018558623745.jpg
879809878113603586.jpg,"""i hope england isn 't too rainy , or anything ...""",1,"The image captures a serene scene at dusk or dawn by the sea. A person stands on a weathered pier, silhouetted against the soft gradient of the sky transitioning from blue to a lighter hue near the horizon. The water is calm, with gentle ripples reflecting the light. In the distance, faint landmasses are visible, and the horizon is marked by a line of buoys floating on the water's surface. The overall mood is tranquil and contemplative, emphasized by the low light and the vastness of the open space.",/mnt/scratch1/beyza/muse_dataset/images/879809878113603586.jpg
884143989342916609.jpg,"'your persistence has paid off , i am "" woke "" , the earth is flat ! ! !'",1,"This image is a surreal and imaginative depiction of a turtle swimming through space. The turtle, with its detailed shell and long neck, dominates the foreground. Its head is turned slightly to the left, as if observing something out of frame. In the background, a large, flat Earth-like planet rests on the back of a giant elephant, which appears to be part of a larger structure resembling a ship or platform. The planet is partially obscured by the elephant's body, creating an illusion of depth. The scene is set against a starry backdrop, with a bright sun visible on the upper left side, adding a cosmic feel to the image. The overall composition blends elements of fantasy and science fiction, evoking themes of exploration and the vastness of space.",/mnt/scratch1/beyza/muse_dataset/images/884143989342916609.jpg
806951240773025792.jpg,'so helpful at building the puzzle .',1,"The image shows a partially completed puzzle featuring characters from the animated movie ""Frozen."" The puzzle pieces are arranged to depict a snowy scene with Elsa, Anna, Olaf, and Sven. Elsa is dressed in her iconic blue gown, while Anna wears a pink and blue outfit. Olaf stands beside them, and Sven, the reindeer, is positioned behind the group. The background includes snowflakes and a winter landscape. A person's arm and foot wearing a white sandal are visible at the top right corner of the frame, suggesting they are working on the puzzle. The puzzle pieces are irregularly shaped, fitting together to form an oval shape.",/mnt/scratch1/beyza/muse_dataset/images/806951240773025792.jpg
709046988462014464.jpg,'moving is so much fun',1,"The image shows a group of four individuals outdoors, lifting a large, rectangular, red cushion or mattress. They are positioned against a brick wall, with one person on the left partially visible, wearing dark clothing. The group is dressed casually, with two wearing jackets and jeans, while another wears a blue puffer vest. The setting appears to be a residential area, as there's a wooden shed and a brick house in the background. The ground is paved with bricks, and some greenery is visible near the shed. The sky is overcast, suggesting a cloudy day.",/mnt/scratch1/beyza/muse_dataset/images/709046988462014464.jpg
693187562681143296.jpg,"""i can 't believe this . i was so sure she was always honest and trustworthy""",1,"The image shows a smartphone screen displaying a lock screen with a notification from MarketWatch. The time is 2:41 PM, and the date is Friday, January 29. The battery level is at 90%, and the carrier is Sprint. The notification reads: ""MarketWatch 1m ago Twenty-two Clinton emails contain highly classified information: State Dept."" Below the notification, there's an option to ""slide to view"" the full content of the notification. At the bottom, there's a prompt saying ""slide to unlock,"" indicating that the phone is locked. The background of the lock screen appears blurred, suggesting a photo or wallpaper used as the lock screen image.",/mnt/scratch1/beyza/muse_dataset/images/693187562681143296.jpg
865338439633260544.jpg,'some people have no concept of common sense . great priorities though ! <user>',1,"The image shows a Facebook post and its comments. The original post, made via mobile, expresses fear about someone trying to break in, accompanied by a sad face emoji. Two people liked the post. Comments follow, with one suggesting calling the police immediately (""CALL THE POLICE!!""), another jokingly updating their status, and others advising against writing and recommending calling the police instead. One commenter mentions difficulty accessing the phone, while another notes the post was made via mobile. The interface elements include like buttons, timestamps, and a comment input field at the bottom.",/mnt/scratch1/beyza/muse_dataset/images/865338439633260544.jpg
