image_id,text,label,image_description,image_location,combined_text
840006160660983809.jpg,<user> thanks for showing up for our appointment today .,1,"The image appears to be a screenshot of a television broadcast showing a sports game, likely basketball given the scoreboard format. The screen is heavily pixelated, making it difficult to discern specific details. The pixelation suggests either a low-quality video feed or a technical issue with the broadcast. The scoreboard at the bottom indicates a game in progress, with a score of ""10"" for one team and ""59"" for another, along with a time of ""8:40"" remaining in the period labeled as ""59nd."" The pixelation obscures the players and the court, leaving only faint outlines and colors visible. The overall quality of the image is poor due to the pixelation.",mmsd/extracted_part_4/840006160660983809.jpg,"<user> thanks for showing up for our appointment today . The image appears to be a screenshot of a television broadcast showing a sports game, likely basketball given the scoreboard format. The screen is heavily pixelated, making it difficult to discern specific details. The pixelation suggests either a low-quality video feed or a technical issue with the broadcast. The scoreboard at the bottom indicates a game in progress, with a score of ""10"" for one team and ""59"" for another, along with a time of ""8:40"" remaining in the period labeled as ""59nd."" The pixelation obscures the players and the court, leaving only faint outlines and colors visible. The overall quality of the image is poor due to the pixelation."
908913372199915520.jpg,haha .,1,"The image depicts a zebra standing in a dry, open savanna with a lion lying down in the background. The zebra is facing away from the camera, showing its distinctive black-and-white striped pattern. The lion appears relaxed, with its head resting on the ground. The sky above is clear with some scattered clouds. The text at the top of the image reads, ""SOMETIMES, THERE ARE MORE IMP THINGS IN LIFE.. THAN FOOD.."" and at the bottom, it says, ""AND SOMETIMES... WATCHING PORN.. IS MORE IMP THAN SAVING YOUR LIFE.."" The overall tone of the image seems to be humorous or satirical, juxtaposing the serious survival scenario of a predator and prey in the wild with a lighthearted commentary about priorities in life.",mmsd/extracted_part_6/908913372199915520.jpg,"haha . The image depicts a zebra standing in a dry, open savanna with a lion lying down in the background. The zebra is facing away from the camera, showing its distinctive black-and-white striped pattern. The lion appears relaxed, with its head resting on the ground. The sky above is clear with some scattered clouds. The text at the top of the image reads, ""SOMETIMES, THERE ARE MORE IMP THINGS IN LIFE.. THAN FOOD.."" and at the bottom, it says, ""AND SOMETIMES... WATCHING PORN.. IS MORE IMP THAN SAVING YOUR LIFE.."" The overall tone of the image seems to be humorous or satirical, juxtaposing the serious survival scenario of a predator and prey in the wild with a lighthearted commentary about priorities in life."
916496521406726145.jpg,i love waiting <num> min for a cab - such shortage ....... <user> please allow uber . this is insane .,1,"The image shows a map interface with numerous overlapping icons of yellow taxis on it. These taxi icons are clustered together, suggesting a high concentration of available taxis in that area. The map background includes street names like ""E 1st"" and ""E 12th Ave,"" indicating an urban setting. The taxis are represented by simple, stylized car shapes within circular icons. The overall composition emphasizes the abundance of taxis in the vicinity, likely from a ride-sharing service.",mmsd/extracted_part_4/916496521406726145.jpg,"i love waiting <num> min for a cab - such shortage ....... <user> please allow uber . this is insane . The image shows a map interface with numerous overlapping icons of yellow taxis on it. These taxi icons are clustered together, suggesting a high concentration of available taxis in that area. The map background includes street names like ""E 1st"" and ""E 12th Ave,"" indicating an urban setting. The taxis are represented by simple, stylized car shapes within circular icons. The overall composition emphasizes the abundance of taxis in the vicinity, likely from a ride-sharing service."
916364004129304576.jpg,22 super funny quotes <user>,1,"The image is a simple text-based meme with a black background. The white text reads: ""I just need to get my shit together"" followed by a dash and a list of years and phrases: ""- me in 2009 / 2012 / this time last year / a minute ago / next year probably."" The text is centered, and the font is clean and sans-serif, giving it a modern look. The humor lies in the repetition of the phrase ""me in [year]"" paired with different time references, suggesting a recurring theme of procrastination or lack of progress over time.",mmsd/extracted_part_5/916364004129304576.jpg,"22 super funny quotes <user> The image is a simple text-based meme with a black background. The white text reads: ""I just need to get my shit together"" followed by a dash and a list of years and phrases: ""- me in 2009 / 2012 / this time last year / a minute ago / next year probably."" The text is centered, and the font is clean and sans-serif, giving it a modern look. The humor lies in the repetition of the phrase ""me in [year]"" paired with different time references, suggesting a recurring theme of procrastination or lack of progress over time."
853866052589154304.jpg,goog morning,1,"The image features a minimalist design with a soft pink background. Centered in the middle of the image is the word ""tired"" written in lowercase white letters. To the right of the word ""tired,"" there's a small trademark symbol (™) also in white. The overall composition is simple and clean, with no additional elements or distractions. The color scheme is monochromatic, using only shades of pink and white.",mmsd/extracted_part_2/853866052589154304.jpg,"goog morning The image features a minimalist design with a soft pink background. Centered in the middle of the image is the word ""tired"" written in lowercase white letters. To the right of the word ""tired,"" there's a small trademark symbol (™) also in white. The overall composition is simple and clean, with no additional elements or distractions. The color scheme is monochromatic, using only shades of pink and white."
731849669324705792.jpg,hilarious . tag your friends who 'd photoshop like dis textpost lol scene …,1,"The image depicts a humorous scene set in a suburban neighborhood. A large, exaggerated figure of a sumo wrestler is superimposed onto the image, appearing to be running through a group of people who are dressed casually, possibly in shorts and t-shirts. The individuals are scattered across a grassy lawn, some running away while others seem to be reacting with surprise or amusement. The setting includes houses and trees typical of a residential area. The sky is clear and blue, suggesting a sunny day. The bottom text humorously comments on the sender's uncle's use of Photoshop, implying that he created this image himself as a playful prank.",mmsd/extracted_part_6/731849669324705792.jpg,"hilarious . tag your friends who 'd photoshop like dis textpost lol scene … The image depicts a humorous scene set in a suburban neighborhood. A large, exaggerated figure of a sumo wrestler is superimposed onto the image, appearing to be running through a group of people who are dressed casually, possibly in shorts and t-shirts. The individuals are scattered across a grassy lawn, some running away while others seem to be reacting with surprise or amusement. The setting includes houses and trees typical of a residential area. The sky is clear and blue, suggesting a sunny day. The bottom text humorously comments on the sender's uncle's use of Photoshop, implying that he created this image himself as a playful prank."
937943250777673728.jpg,& deanwinchester mix so well together ! ! <user> <user>,1,"This image is a meme featuring two characters from a TV show, likely ""Supernatural,"" given their attire and context. The top row shows one character, dressed formally, with a serious expression, while the other character, sporting long hair and a suit, introduces himself as ""Donatello."" The bottom row continues the conversation, where Donatello humorously clarifies that he's named after the ""Mutant Ninja Turtle"" and not a Renaissance sculptor. The background appears to be an office or similar setting, with bulletin boards and papers visible. The meme uses text overlays for dialogue, adding comedic effect through the unexpected twist of the name ""Donatello.""",mmsd/extracted_part_5/937943250777673728.jpg,"& deanwinchester mix so well together ! ! <user> <user> This image is a meme featuring two characters from a TV show, likely ""Supernatural,"" given their attire and context. The top row shows one character, dressed formally, with a serious expression, while the other character, sporting long hair and a suit, introduces himself as ""Donatello."" The bottom row continues the conversation, where Donatello humorously clarifies that he's named after the ""Mutant Ninja Turtle"" and not a Renaissance sculptor. The background appears to be an office or similar setting, with bulletin boards and papers visible. The meme uses text overlays for dialogue, adding comedic effect through the unexpected twist of the name ""Donatello."""
722824700338900992.jpg,"super excited , moments after <user> created his fb page he chose me to be his one and only friend !",1,"has sent a friend request. There are tabs for ""About,"" ""Photos,"" and ""Friends,"" but the ""Photos"" section currently displays ""Nothing to show."" The device's status bar at the top indicates it's 11:22 AM, with a battery level of 51%.",mmsd/extracted_part_6/722824700338900992.jpg,"super excited , moments after <user> created his fb page he chose me to be his one and only friend ! has sent a friend request. There are tabs for ""About,"" ""Photos,"" and ""Friends,"" but the ""Photos"" section currently displays ""Nothing to show."" The device's status bar at the top indicates it's 11:22 AM, with a battery level of 51%."
921787893160349696.jpg,but its like a real dude ! feel it,1,"The image depicts a simplified diagram illustrating the relationship between Earth, the Sun, and a location named ""Shah Alam."" The Earth is shown as a blue-green sphere labeled with the word ""Earth"" to its left. A dotted line connects the Earth to an arrow pointing toward the Sun, which is represented by a bright yellow circle with radiating lines symbolizing sunlight. The Sun is labeled with the word ""SUN"" inside it. An arrow labeled ""Shah Alam"" points from the Earth toward the Sun, indicating the direction of sunlight reaching Shah Alam. The background is dark, emphasizing the contrast between the Earth, the Sun, and the arrow.",mmsd/extracted_part_5/921787893160349696.jpg,"but its like a real dude ! feel it The image depicts a simplified diagram illustrating the relationship between Earth, the Sun, and a location named ""Shah Alam."" The Earth is shown as a blue-green sphere labeled with the word ""Earth"" to its left. A dotted line connects the Earth to an arrow pointing toward the Sun, which is represented by a bright yellow circle with radiating lines symbolizing sunlight. The Sun is labeled with the word ""SUN"" inside it. An arrow labeled ""Shah Alam"" points from the Earth toward the Sun, indicating the direction of sunlight reaching Shah Alam. The background is dark, emphasizing the contrast between the Earth, the Sun, and the arrow."
875711381030547456.jpg,background,1,"The image shows a person sitting cross-legged on the floor surrounded by numerous black electronic devices, possibly chargers or power adapters, piled up behind them. The individual is wearing a light green shirt and blue jeans. The setting appears to be indoors, with a tiled floor visible beneath. The photo has a social media interface overlay at the bottom, indicating it was shared online, showing ""13"" likes and options for liking, commenting, and sharing. The time displayed in the top right corner of the image is 6:21.",mmsd/extracted_part_4/875711381030547456.jpg,"background The image shows a person sitting cross-legged on the floor surrounded by numerous black electronic devices, possibly chargers or power adapters, piled up behind them. The individual is wearing a light green shirt and blue jeans. The setting appears to be indoors, with a tiled floor visible beneath. The photo has a social media interface overlay at the bottom, indicating it was shared online, showing ""13"" likes and options for liking, commenting, and sharing. The time displayed in the top right corner of the image is 6:21."
